code,Sigungu,address,lon,lat
238371,拳魂府,匡林焙 柯魂谰 魂鞠肺 94 浅魂陛加 具寇林瞒厘,129.3376,35.4381
238373,惑巢府,匡林焙 没樊搁 脚傣窍3辨 5 没樊搁荤公家 苛惑,129.3059,35.4931
238374,丑家悼,合备 龋荐吝居肺 14 丑家款悼厘 林瞒厘,129.3580,35.6203
238375,伙巢搁,匡林焙 伙巢搁 辑氢背1辨 67-12 ,129.1138,35.5583
238376,距荤悼,吝备 辆啊肺 560 距荤绊殿切背 苛惑,129.3195,35.5679
238381,傈窍悼,悼备 柳己4辨 45 傈窍2悼 林刮季磐 3摸 苛惑,129.4267,35.5088
238377,旷锰搁,匡林焙 旷锰搁 货肺玫辨 12 旷锰搁荤公家 林瞒厘,129.2091,35.4615
238378,裹辑谰,匡林焙 裹辑谰 寸菊肺 14-50 玫惑沥荐荤诀家,129.2219,35.5706
541111,脚蕊悼,炼摹盔谰 焙没肺 87-16(技辆矫 炼摹盔没荤 苛惑),127.2921,36.5925
541112,酒抚悼,酒抚悼 焊惦3肺 114(酒抚悼 汗钦目孤聪萍季磐 苛惑),127.2472,36.5119
541113,茄贾悼,穿府肺 27 霉付阑 6窜瘤 包府荤公家 苛惑,127.2514,36.4761
541114,何碍搁,何碍搁 何碍寇玫肺 20(何碍搁 积劝巩拳瘤盔季磐 苛惑),127.3703,36.5270
131111,脚浅悼,荐盔矫 迫崔备 脚浅肺 23锅辨 68 急版档辑包,127.0105,37.2838
131112,牢拌悼,荐盔矫 迫崔备 瓤盔肺 241 荐盔矫没,127.0292,37.2634
131113,堡背悼,荐盔矫 康烹备 过炼肺 129(捞狼吝切背 苛惑),127.0708,37.2913
131114,康烹悼,荐盔矫 康烹备 康烹肺217锅辨 12 康烹2悼 林刮季磐,127.0563,37.2470
131115,玫玫悼,荐盔矫 厘救备 辑何肺 2066  己闭包措力2傍切包,126.9753,37.2928
131117,绊祸悼,荐盔矫 鼻急备 辑何肺 1600 瞒樊殿废荤诀家,126.9766,37.2526
131118,龋概角悼,荐盔矫 鼻急备 磨焊肺 161 龋概角悼林刮季磐 苛惑,126.9572,37.2662
