무거동,238129,2021-12-20 24:00,129.2608,35.5593,0.002,0.6,2,0.044,57,34
효문동,238130,2021-12-20 24:00,129.3711,35.5595,0.004,0.6,2,0.047,66,33
화산리,238371,2021-12-20 24:00,129.3376,35.4381,0.007,0.6,2,0.041,70,-
상남리,238373,2021-12-20 24:00,129.3059,35.4931,0.002,0.5,2,0.032,48,25
농소동,238374,2021-12-20 24:00,129.358,35.6203,0.003,1.0,2,0.043,61,30
약사동,238376,2021-12-20 24:00,129.3195,35.5679,0.003,0.6,2,0.041,52,25
전하동,238381,2021-12-20 24:00,129.4267,35.5088,0.006,0.5,2,0.029,65,32
웅촌면,238377,2021-12-20 24:00,129.2091,35.4615,0.003,0.6,2,0.035,95,67
범서읍,238378,2021-12-20 24:00,129.2219,35.5706,0.002,0.5,2,0.043,51,33
신흥동,541111,2021-12-20 24:00,127.2921,36.5925,0.003,0.6,2,0.022,50,29
아름동,541112,2021-12-20 24:00,127.2472,36.5119,0.003,0.5,2,0.028,51,26
한솔동,541113,2021-12-20 24:00,127.2514,36.4761,0.003,0.4,2,0.015,57,25
부강면,541114,2021-12-20 24:00,127.3703,36.527,0.003,0.6,2,0.026,69,28
신풍동,131111,2021-12-20 24:00,127.0105,37.2838,0.004,1.1,2,0.061,64,37
인계동,131112,2021-12-20 24:00,127.0292,37.2634,0.003,0.7,2,0.051,79,43
광교동,131113,2021-12-20 24:00,127.0708,37.2913,0.003,0.7,2,0.057,63,30
영통동,131114,2021-12-20 24:00,127.0563,37.247,0.002,0.9,2,0.044,67,32
천천동,131115,2021-12-20 24:00,126.9753,37.2928,0.003,0.9,2,0.061,82,40
고색동,131117,2021-12-20 24:00,126.9766,37.2526,0.003,0.7,2,0.051,89,42
호매실동,131118,2021-12-20 24:00,126.9572,37.2662,0.001,0.4,2,0.014,65,-
부림동,131142,2021-12-20 24:00,126.958,37.3941,0.002,0.6,2,0.044,71,38
호계동,131144,2021-12-20 24:00,126.9587,37.3676,0.002,0.8,2,0.050,76,41
안양2동,131145,2021-12-20 24:00,126.9176,37.4051,0.002,0.9,2,0.056,62,43
단대동,131121,2021-12-20 24:00,127.1554,37.4494,0.002,0.7,2,0.055,74,40
정자동,131123,2021-12-20 24:00,127.1114,37.3615,0.002,0.9,2,0.052,79,43
수내동,131124,2021-12-20 24:00,127.119,37.3826,0.003,0.8,2,0.046,59,38
복정동,131126,2021-12-20 24:00,127.1312,37.4572,0.003,0.8,2,0.057,71,43
운중동,131128,2021-12-20 24:00,127.0807,37.3905,0.002,0.8,2,0.037,68,38
