년,월,일,시,분,항목,종로구,중구,용산구,은평구,서대문구,마포구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,최대,최소,평균
2001,4,26,,,PM2.5,*0,*0,*0,*0,*0,*0,45,61,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,61,45,53
2001,4,27,,,PM2.5,*0,*0,*0,*0,*0,*0,47,62,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,62,47,54
2001,4,28,,,PM2.5,*0,*0,*0,*0,*0,*0,50,67,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,67,50,58
2001,4,29,,,PM2.5,*0,*0,*0,*0,*0,*0,44,53,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,53,44,49
2001,4,30,,,PM2.5,*0,*0,*0,*0,*0,*0,37,43,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,43,37,40
2001,5,1,,,PM2.5,*0,*0,*0,*0,*0,*0,36,55,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,55,36,46
2001,5,2,,,PM2.5,*0,*0,*0,*0,*0,*0,21,39,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,39,21,29
2001,5,3,,,PM2.5,*0,*0,*0,*0,*0,*0,42,38,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,42,38,40
2001,5,4,,,PM2.5,*0,*0,*0,*0,*0,*0,58,61,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,61,58,60
2001,5,5,,,PM2.5,*0,*0,*0,*0,*0,*0,62,60,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,62,60,61
2001,5,6,,,PM2.5,*0,*0,*0,*0,*0,*0,42,48,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,48,42,45
2001,5,7,,,PM2.5,*0,*0,*0,*0,*0,*0,27,27,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,27,27,27
2001,5,8,,,PM2.5,*0,*0,*0,*0,*0,*0,48,50,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,50,48,49
2001,5,9,,,PM2.5,*0,*0,*0,*0,*0,*0,54,55,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,55,54,54
2001,5,10,,,PM2.5,*0,*0,*0,*0,*0,*0,43,43,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,43,43,43
2001,5,11,,,PM2.5,*0,*0,*0,*0,*0,*0,35,37,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,37,35,36
2001,5,12,,,PM2.5,*0,*0,*0,*0,*0,*0,40,41,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,41,40,41
2001,5,13,,,PM2.5,*0,*0,*0,*0,*0,*0,37,48,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,48,37,43
2001,5,14,,,PM2.5,*0,*0,*0,*0,*0,*0,42,52,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,52,42,47
2001,5,15,,,PM2.5,*0,*0,*0,*0,*0,*0,45,51,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,51,45,48
2001,5,16,,,PM2.5,*0,*0,*0,*0,*0,*0,68,80,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,80,68,74
2001,5,17,,,PM2.5,*0,*0,*0,*0,*0,*0,81,95,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,95,81,88
2001,5,18,,,PM2.5,*0,*0,*0,*0,*0,*0,63,70,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,70,63,66
2001,5,19,,,PM2.5,*0,*0,*0,*0,*0,*0,65,65,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,65,65,65
