"STNID","TYPE","longitude","latitude","avg_PM2.5"
"1336A","PM2.5",112.8872,28.2189,42.5378077740282
"1337A","PM2.5",113.0792,28.2053,44.5252214566929
"1338A","PM2.5",112.9394,28.19,42.5909316770186
"1339A","PM2.5",113.0178,28.1322,39.2313637496884
"1340A","PM2.5",112.9792,28.2597,42.7293944232895
"1341A","PM2.5",113.0014,28.1944,43.4286063271039
"1342A","PM2.5",112.9844,28.1178,39.1401007742411
"1343A","PM2.5",112.8908,28.1308,40.4689765327436
"1344A","PM2.5",112.9581,28.3611,36.9237193069924
"1345A","PM2.5",113.2347,23.1423,27.5807077072225
"1346A","PM2.5",113.2612,23.105,27.0119468487139
"1347A","PM2.5",NA,NA,NA
"1348A","PM2.5",113.3478,23.0916,24.2805429864253
"1349A","PM2.5",113.4332,23.1047,23.3636252595578
"1350A","PM2.5",113.3505,22.9483,23.5167051391083
"1351A","PM2.5",113.2146,23.3916,24.8779603673272
"1352A","PM2.5",113.2597,23.1331,25.7161835748792
"1353A","PM2.5",113.5618,23.312,24.7639652854174
"1354A","PM2.5",113.2765,23.1544,23.3941297258123
"1355A","PM2.5",113.443,23.3035,20.306602059358
"1356A","PM2.5",114.1063,22.5545,18.2112182296231
"1357A","PM2.5",114.117,22.5625,18.6003277035543
"1358A","PM2.5",113.987,22.5417,18.5995534541634
"1359A","PM2.5",113.9181,22.5171,20.3541017653167
"1360A","PM2.5",114.2458,22.5689,15.125748502994
"1361A","PM2.5",114.2283,22.7244,18.9372978352824
"1362A","PM2.5",113.8953,22.5861,22
"1363A","PM2.5",114.494,22.5422,13.4437476001536
"1364A","PM2.5",114.41,22.6342,15.1728518057285
"1365A","PM2.5",114.297,22.5978,15.4943032427695
"1366A","PM2.5",114.0678,22.738,23.5229436172809
"1367A","PM2.5",113.5814,22.2618,16.7590037846417
"1368A","PM2.5",113.4881,22.2335,17.4473619931607
"1369A","PM2.5",113.628,22.4251,19.6304488423231
"1370A","PM2.5",113.299,22.2281,20.5523972184946
"1371A","PM2.5",113.1294,23.0067,21.6584562858188
"1372A","PM2.5",113.1083,23.0478,24.5165264056592
"1373A","PM2.5",113.144,23.0453,24.6974749305304
"1374A","PM2.5",113.2881,22.8094,21.9607893388006
"1375A","PM2.5",113.2544,22.7642,16.5
"1376A","PM2.5",112.8383,22.8678,22.5469633636587
"1377A","PM2.5",112.8836,23.1588,27.6711547792334
"1378A","PM2.5",112.867,23.185,21.5535267633817
"1379A","PM2.5",113.3769,22.5211,21.1765346894297
"1380A","PM2.5",113.3881,22.5497,20.8638644918444
"1381A","PM2.5",113.4075,22.5111,18.9928624169333
"1382A","PM2.5",113.4411,22.4853,16.6730436929153
"1383A","PM2.5",113.1064,22.6058,19.3867604267701
"1384A","PM2.5",113.0731,22.5835,22.9418477601068
"1385A","PM2.5",113.0219,22.5311,20.9806087383407
"1386A","PM2.5",113.0828,22.5947,21.5662956690056
"1387A","PM2.5",113.7875,23.0457,12
"1388A","PM2.5",113.7533,23.0202,11
"1389A","PM2.5",113.7547,23.0494,23.2559494900437
"1390A","PM2.5",113.7944,23.0128,20.3019261440314
"1391A","PM2.5",113.7383,22.9658,24.1977736549165
"1392A","PM2.5",114.4183,23.0528,20.9150085973962
"1393A","PM2.5",114.4053,23.0822,20.3714706604468
"1394A","PM2.5",114.4103,23.1142,22.0904123199205
"1395A","PM2.5",114.4645,22.7833,18.3888671620388
"1396A","PM2.5",114.5317,22.7422,16.830193295816
"1397A","PM2.5",112.4267,23.0706,23.5650048875855
"1398A","PM2.5",112.4645,23.0475,23.1228388344819
"1399A","PM2.5",112.5544,23.1522,21.4802967647774
"1400A","PM2.5",112.4753,23.1,21.807056501357
"1401A","PM2.5",108.3103,22.7881,26.9497666421027
"1402A","PM2.5",108.3141,22.8528,29.7834799608993
"1403A","PM2.5",108.3206,22.8225,27.8832357247438
"1404A","PM2.5",108.3829,22.8037,27.1258544921875
"1405A","PM2.5",108.4394,22.7904,26.4579246882189
"1406A","PM2.5",108.2397,22.8467,25.1986007119185
"1407A","PM2.5",108.3275,22.735,28.7457481952771
"1408A","PM2.5",108.2257,22.7757,28.9398683066219
"1409A","PM2.5",110.576,19.9507,13.7322160148976
"1410A","PM2.5",110.3232,20.0574,14.2615869934482
"1411A","PM2.5",110.283,20.0053,15.4019619716604
"1412A","PM2.5",110.338,19.9969,13.2712895377129
"1413A","PM2.5",110.33,20.0356,13.5536709474194
"1414A","PM2.5",106.3787,29.8279,25.4671224362958
"1415A","PM2.5",106.46,29.5736,NA
"1416A","PM2.5",106.4213,29.8253,33.9762762389765
"1417A","PM2.5",106.6263,29.7228,33.1554144793066
"1418A","PM2.5",106.2953,29.5983,34.5943799633476
"1419A","PM2.5",106.5777,29.5102,36.9098701934852
"1420A","PM2.5",106.6556,29.6277,32.2196313026492
"1421A","PM2.5",106.6349,29.4906,34.7333251893477
"1422A","PM2.5",106.3754,29.4572,33.4611704085388
"1423A","PM2.5",106.571,29.5642,NA
"1424A","PM2.5",106.512,29.5164,NA
"1425A","PM2.5",106.6205,29.7166,33.9891357421875
"1426A","PM2.5",106.4782,29.4875,34.966796875
"1427A","PM2.5",106.5616,29.6453,31.670666013712
"1428A","PM2.5",106.4522,29.7091,34.7271283742519
"1429A","PM2.5",106.5093,29.3917,37.0338756677999
"1430A","PM2.5",106.591,29.4272,NA
"1431A","PM2.5",103.9728,30.7236,43.8834280069153
"1432A","PM2.5",104.1419,30.6764,41.3960141826629
"1433A","PM2.5",104.0594,30.5767,39.594719552257
"1434A","PM2.5",104.1122,30.6306,40.9041012534988
"1435A","PM2.5",104.074,30.685,NA
"1436A","PM2.5",104.026,30.6544,NA
"1437A","PM2.5",104.0431,30.6556,43.4622722269781
"1438A","PM2.5",103.6202,31.0201,30.1237604636188
"1439A","PM2.5",106.6899,26.5998,21.233174008526
"1440A","PM2.5",106.6971,26.5694,21.7128862094951
"1441A","PM2.5",106.6243,26.6266,20.6514471057884
"1442A","PM2.5",106.7487,26.6343,30.1719534598898
"1443A","PM2.5",106.6555,26.4365,22.9892620801598
"1444A","PM2.5",106.694,26.5161,25.4096965210955
"1445A","PM2.5",106.7109,26.6027,25.869003923554
"1446A","PM2.5",106.7164,26.5699,24.7493818001978
"1447A","PM2.5",106.674,26.5424,20.3866649668536
"1449A","PM2.5",102.743,25.0124,NA
"1450A","PM2.5",102.8204,24.8886,22.3650329188003
"1451A","PM2.5",102.6251,24.9608,18.2861342479177
"1452A","PM2.5",102.7252,25.0902,25.1216384462151
"1453A","PM2.5",102.7266,25.0375,23.4450190863194
"1454A","PM2.5",102.6742,25.0669,26.6678850516763
"1455A","PM2.5",102.6644,25.0401,25.3052361145094
"1456A","PM2.5",91.1319,29.6514,10.4912530776208
"1457A","PM2.5",91.1221,29.6747,10.9933600601353
"1458A","PM2.5",91.0874,29.6475,8.68331044813382
"1459A","PM2.5",91.1774,29.6541,7.76301456618113
"1460A","PM2.5",90.9798,29.6588,12.7683288236052
"1461A","PM2.5",91.0834,29.6292,7.45327891922319
"1462A","PM2.5",108.882,34.2749,45.2008071419836
"1463A","PM2.5",108.993,34.2629,40.897370030581
"1464A","PM2.5",109.06,34.2572,40.9766195811008
"1465A","PM2.5",108.9356,34.2173,40.6284739151633
"1466A","PM2.5",108.954,34.2713,40.8002463054187
"1467A","PM2.5",108.8922,34.2322,44.2736465655445
"1468A","PM2.5",108.935,34.3474,43.7508971661923
"1469A","PM2.5",108.906,34.1546,40.4811286185416
"1470A","PM2.5",109.2,34.6575,81
"1471A","PM2.5",109.2186,34.3731,39.9569471624266
"1472A","PM2.5",108.869,34.378,45.7291483205435
